Nom du projet;
Numéro du projet;
Maître d'ouvrage;
No. LP;Nom;Matériau;Qté;Haut.;Larg.;Long.;Total surf.;chant 1;chant 2;chant 3;chant 4;Remarque
505;;Aggloméré plaqué chêne;1;25;535;678;0.36;;;;;
508;Porte;Aggloméré plaqué chêne;1;25;364;836;0.30;ABS décor;ABS décor;ABS décor;ABS décor;
509;Porte;Aggloméré plaqué chêne;1;25;364;419;0.15;ABS décor;ABS décor;ABS décor;ABS décor;
511;Joue;Aggloméré plaqué chêne;1;25;291;2550;0.74;;;;;
515;Rayon;Aggloméré plaqué chêne;1;25;265;370;0.10;ABS décor;ABS décor;ABS décor;ABS décor;
518;Joue;Aggloméré plaqué chêne;1;25;250;2540;0.63;;;;ABS décor;
521;Alaise;Aggloméré plaqué chêne;1;25;50;2540;0.13;;;;;
532;Porte;Aggloméré plaqué chêne;1;25;515;678;0.35;ABS décor;ABS décor;ABS décor;ABS décor;
533;Porte;Aggloméré plaqué chêne;1;25;515;678;0.35;ABS décor;ABS décor;ABS décor;ABS décor;
534;Porte;Aggloméré plaqué chêne;2;25;515;678;0.70;ABS décor;ABS décor;ABS décor;ABS décor;
535;Porte;Aggloméré plaqué chêne;1;25;515;678;0.35;ABS décor;ABS décor;ABS décor;ABS décor;
536;Joue;Aggloméré plaqué chêne;1;25;470;2540;1.18;ABS décor;ABS décor;;ABS décor;
539;Joue;Aggloméré plaqué chêne;1;25;407;2550;1.03;;;;;
569;Porte;Aggloméré plaqué chêne;1;25;342;992;0.34;ABS décor;ABS décor;ABS décor;ABS décor;
570;Porte;Aggloméré plaqué chêne;1;25;330;467;0.15;ABS décor;ABS décor;ABS décor;ABS décor;
571;Porte;Aggloméré plaqué chêne;1;25;321;392;0.13;ABS décor;ABS décor;ABS décor;ABS décor;
572;Porte;Aggloméré plaqué chêne;1;25;321;342;0.11;ABS décor;ABS décor;ABS décor;ABS décor;
573;Porte;Aggloméré plaqué chêne;1;25;292;700;0.20;ABS décor;ABS décor;ABS décor;ABS décor;
574;Porte;Aggloméré plaqué chêne;1;25;269;359;0.10;ABS décor;ABS décor;ABS décor;ABS décor;
600;Fileur;Aggloméré plaqué chêne;1;25;50;2540;0.13;;;;ABS décor;
0;rayon;Aggloméré plaqué chêne;2;19;202;337;0.14;;;;;
0;Rayon;Aggloméré plaqué chêne;2;19;379;299;0.23;;;;;
506;Rayon;Aggloméré plaqué chêne;8;19;388;1031;3.08;;;;;
507;Rayon;Aggloméré plaqué chêne;4;19;388;1009;1.51;;;;;
512;Joue;Aggloméré plaqué chêne;1;19;291;2530;0.74;;;;;
513;Rayon;Aggloméré plaqué chêne;1;19;272;370;0.10;;;;;
514;Rayon;Aggloméré plaqué chêne;1;19;265;370;0.10;ABS décor;ABS décor;ABS décor;ABS décor;
516;Rayon;Aggloméré plaqué chêne;2;19;265;370;0.20;ABS décor;ABS décor;ABS décor;ABS décor;
519;Alaise;Aggloméré plaqué chêne;1;19;80;1666;0.10;;;;;
520;Alaise;Aggloméré plaqué chêne;1;19;80;1454;0.09;;;;;
522;Alaise;Aggloméré plaqué chêne;1;19;50;2540;0.13;;ABS décor;;;
523;Plinthe;Aggloméré plaqué chêne;1;19;50;1764;0.09;;;;;
524;Plinthe;Aggloméré plaqué chêne;1;19;50;1716;0.09;;;;;
525;Plinthe;Aggloméré plaqué chêne;1;19;50;470;0.02;;;;;
526;Alaise;Aggloméré plaqué chêne;1;19;70;370;0.02;;;;ABS décor;
537;Dessous;Aggloméré plaqué chêne;1;19;470;291;0.13;;;;;
538;Joue;Aggloméré plaqué chêne;1;19;439;2530;1.11;;;;;
540;Plateau;Aggloméré plaqué chêne;1;19;417;2089;0.84;;;;;
541;Plateau;Aggloméré plaqué chêne;1;19;417;2089;0.85;;;;;
542;Montant;Aggloméré plaqué chêne;1;19;417;1750;0.71;;;;;
543;Montant;Aggloméré plaqué chêne;1;19;417;1750;0.71;;;;;
544;Montant;Aggloméré plaqué chêne;1;19;417;1750;0.71;;;;;
545;Montant;Aggloméré plaqué chêne;1;19;417;1750;0.71;;;;;
546;Montant;Aggloméré plaqué chêne;1;19;417;1750;0.71;;;;;
547;Montant;Aggloméré plaqué chêne;1;19;417;1750;0.71;;;;;
548;Dessous;Aggloméré plaqué chêne;1;19;407;1716;0.70;;;;;
549;Dessus;Aggloméré plaqué chêne;1;19;407;1666;0.68;;;;;
550;Dessous;Aggloméré plaqué chêne;1;19;407;1473;0.60;;;;;
551;Dessus;Aggloméré plaqué chêne;1;19;407;1454;0.59;;;;;
552;Plateau;Aggloméré plaqué chêne;1;19;417;1051;0.42;;;;;
553;Plateau;Aggloméré plaqué chêne;1;19;417;1051;0.42;;;;;
554;Rayon;Aggloméré plaqué chêne;1;19;417;1010;0.41;;;;;
555;Rayon;Aggloméré plaqué chêne;2;19;417;1010;0.81;;;;;
556;Rayon;Aggloméré plaqué chêne;1;19;417;1010;0.41;;;;;
557;Montant;Aggloméré plaqué chêne;1;19;417;974;0.39;;;;;
558;Montant;Aggloméré plaqué chêne;1;19;417;974;0.39;;;;;
559;Rayon;Aggloméré plaqué chêne;2;19;417;672;0.54;;;;;
560;Rayon;Aggloméré plaqué chêne;2;19;417;672;0.54;;;;;
561;Rayon;Aggloméré plaqué chêne;10;19;417;407;1.61;;;;;
562;Rayon;Aggloméré plaqué chêne;10;19;417;407;1.61;;;;;
563;Rayon;Aggloméré plaqué chêne;1;19;392;310;0.11;;;;;
564;Rayon;Aggloméré plaqué chêne;1;19;392;310;0.11;;;;;
